project,month,prediction,target,train_strategy,model_arch
geopaparazzi,30,0.8358355247705388,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,31,0.8540106144421014,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,32,0.7940005009266492,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,33,0.6494030751919143,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,34,0.5088124997350955,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,35,0.3091846836305714,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,36,0.11139452573619435,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,37,0.11022253199219988,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,38,0.12297405216079467,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,39,0.17201357638061235,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,40,0.05953924849561367,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,41,0.031697918676486844,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,42,0.029358301057412356,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,43,0.0276249953420593,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,44,0.025637249889109988,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,45,0.026726127377202178,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,46,0.026644188558206678,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,47,0.02626116245906821,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,48,0.023644296024519316,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,49,0.022010433155301587,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,50,0.021574740268192318,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,51,0.021590984424799054,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,52,0.021543475247451187,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,53,0.02135154398794779,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,54,0.021443025616577335,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,55,0.021248870016673933,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,56,0.02108564267169239,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,57,0.021149095903152865,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,58,0.021200252303041015,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,59,0.02130563582624883,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,60,0.02137494530472177,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,61,0.021286423421663318,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,62,0.02136627023435737,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,63,0.021311949606901085,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,64,0.02126612203214799,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,65,0.02130013056634967,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,66,0.021252416401891572,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,67,0.02127362687158564,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,68,0.021275193793375086,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,69,0.02125224567589623,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,70,0.021318365628185013,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,71,0.021294901770518772,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,72,0.021240649687030856,retired,Oc^ --> Oc^^,DLSTM
