project,month,prediction,target,train_strategy,model_arch
Acceleo,1,0.6231658527387142,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,2,0.6893400747924802,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,3,0.6870602333451601,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,4,0.6923323788447888,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,5,0.6921345114122153,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,6,0.6925259272285916,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,7,0.6895499045927618,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,8,0.6883170645561364,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,9,0.687824839098602,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,10,0.6940183421970282,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,11,0.6924465723576968,graduated,Ec^ --> Ec^^,DLSTM
Acceleo,12,0.631765213241964,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,1,0.6435957876940733,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,2,0.7019054999908615,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,3,0.7102342734843772,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,4,0.7081119383955212,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,5,0.7097794362046848,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,6,0.7101629787492277,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,7,0.7104927216401183,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,8,0.709433840754249,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,9,0.7058673028971945,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,10,0.7040470268992965,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,11,0.7053491594328773,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,12,0.7061737927249058,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,13,0.7073222992648452,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,14,0.7062195946244805,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,15,0.7065433361252493,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,16,0.7064358366052799,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,17,0.699201122762436,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,18,0.6968820988664867,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,19,0.7013448366725586,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,20,0.701953698635085,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,21,0.7029785971381838,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,22,0.7022822451932814,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,23,0.7029906673760634,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,24,0.7005975608458354,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,25,0.6976729074772795,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,26,0.6966031053080743,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,27,0.6990536142029876,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,28,0.7012401937506236,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,29,0.7010132169471401,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,30,0.7004012972376028,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,31,0.69774863890401,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,32,0.6995251037697616,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,33,0.6977655307050045,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,34,0.6974393722116113,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,35,0.699510632400989,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,36,0.7013449786693534,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,37,0.7010147740963801,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,38,0.7008874702570251,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,39,0.699168943036351,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,40,0.7008661288794042,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,41,0.6998200778612084,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,42,0.6990242680111836,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,43,0.7002527146986018,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,44,0.701551862772742,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,45,0.6997068388407721,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,46,0.7009335626157714,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,47,0.6986225100960696,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,48,0.7002823008550998,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,49,0.6974302288920545,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,50,0.6975410740902946,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,51,0.6991088746810865,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,52,0.6991342680508069,graduated,Ec^ --> Ec^^,DLSTM
